person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_to_income_ratio,income_to_loan_ratio,annual_interest_burden,interest_burden_ratio,credit_age_ratio,emp_to_age_ratio,high_risk_flag,loan_status
37,85000,MORTGAGE,19.0,HOMEIMPROVEMENT,B,10000,9.99,0.12,N,16,0.11764705882352941,8.5,999.0,0.011752941176470588,0.43243243243243246,0.5135135135135135,0,0
25,50000,RENT,7.0,EDUCATION,E,8500,15.7,0.17,N,4,0.17,5.882352941176471,1334.5,0.02669,0.16,0.28,0,0
26,90000,MORTGAGE,1.0,PERSONAL,B,20000,,0.22,N,3,0.2222222222222222,4.5,2198.0,0.024422222222222224,0.11538461538461539,0.038461538461538464,0,0
41,88712,RENT,2.0,VENTURE,B,16000,10.95,0.18,N,15,0.18035891423933628,5.5445,1751.9999999999998,0.01974930110920732,0.36585365853658536,0.04878048780487805,0,0
35,39000,RENT,2.0,MEDICAL,C,10000,13.16,0.26,N,6,0.2564102564102564,3.9,1316.0,0.03374358974358974,0.17142857142857143,0.05714285714285714,0,1
28,20400,RENT,12.0,EDUCATION,A,6000,6.03,0.29,N,8,0.29411764705882354,3.4,361.8,0.01773529411764706,0.2857142857142857,0.42857142857142855,0,0
28,60000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,4800,,0.08,N,9,0.08,12.5,527.52,0.008792,0.32142857142857145,0.14285714285714285,0,0
39,38400,RENT,5.0,EDUCATION,C,3500,12.99,0.09,Y,15,0.09114583333333333,10.971428571428572,454.65000000000003,0.01183984375,0.38461538461538464,0.1282051282051282,0,0
29,24000,RENT,6.0,PERSONAL,B,5000,10.74,0.21,N,10,0.20833333333333334,4.8,537.0,0.022375,0.3448275862068966,0.20689655172413793,0,0
38,18720,RENT,0.0,VENTURE,D,6000,15.99,0.32,N,12,0.32051282051282054,3.12,959.4000000000001,0.051250000000000004,0.3157894736842105,0.0,0,1
21,26500,MORTGAGE,3.0,MEDICAL,D,6000,14.46,0.23,Y,4,0.22641509433962265,4.416666666666667,867.6,0.03273962264150943,0.19047619047619047,0.14285714285714285,1,1
23,55000,RENT,2.0,EDUCATION,A,3000,6.99,0.05,N,2,0.05454545454545454,18.333333333333332,209.70000000000002,0.003812727272727273,0.08695652173913043,0.08695652173913043,0,0
23,45000,MORTGAGE,6.0,MEDICAL,B,5000,10.74,0.11,N,2,0.1111111111111111,9.0,537.0,0.011933333333333334,0.08695652173913043,0.2608695652173913,0,1
24,154000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,6000,5.79,0.04,N,4,0.03896103896103896,25.666666666666668,347.4,0.0022558441558441556,0.16666666666666666,0.3333333333333333,0,0
39,60197,RENT,6.0,PERSONAL,A,5200,,0.09,N,11,0.08638304234430287,11.576346153846155,571.48,0.009493496353638886,0.28205128205128205,0.15384615384615385,0,0
25,79200,MORTGAGE,1.0,PERSONAL,C,11200,14.79,0.14,Y,3,0.1414141414141414,7.071428571428571,1656.48,0.020915151515151515,0.12,0.04,0,1
34,80000,RENT,4.0,VENTURE,A,5000,,0.06,N,9,0.0625,16.0,549.5,0.00686875,0.2647058823529412,0.11764705882352941,0,0
33,58800,RENT,10.0,VENTURE,B,3000,11.49,0.05,N,5,0.05102040816326531,19.6,344.7,0.0058622448979591835,0.15151515151515152,0.30303030303030304,0,0
28,80000,MORTGAGE,1.0,HOMEIMPROVEMENT,D,20000,13.24,0.25,N,8,0.25,4.0,2648.0,0.0331,0.2857142857142857,0.03571428571428571,0,0
34,150000,MORTGAGE,14.0,VENTURE,E,25000,16.7,0.17,Y,6,0.16666666666666666,6.0,4174.999999999999,0.027833333333333328,0.17647058823529413,0.4117647058823529,1,0
27,34000,OWN,7.0,EDUCATION,C,8000,12.53,0.24,N,10,0.23529411764705882,4.25,1002.4,0.02948235294117647,0.37037037037037035,0.25925925925925924,0,0
30,39600,MORTGAGE,5.0,DEBTCONSOLIDATION,B,3000,10.38,0.08,N,10,0.07575757575757576,13.2,311.40000000000003,0.007863636363636364,0.3333333333333333,0.16666666666666666,0,0
29,36000,RENT,0.0,MEDICAL,B,14400,10.62,0.4,N,6,0.4,2.5,1529.2799999999997,0.04247999999999999,0.20689655172413793,0.0,0,1
24,47160,RENT,5.0,VENTURE,B,11000,11.14,0.23,N,4,0.23324851569126379,4.287272727272727,1225.4,0.025983884648006786,0.16666666666666666,0.20833333333333334,0,0
26,43000,RENT,,PERSONAL,A,2125,8.9,0.05,N,3,0.04941860465116279,20.235294117647058,189.12500000000003,0.004398255813953489,0.11538461538461539,0.15384615384615385,0,0
34,99996,MORTGAGE,18.0,PERSONAL,A,9800,7.14,0.1,N,8,0.09800392015680627,10.203673469387756,699.7199999999999,0.006997479899195967,0.23529411764705882,0.5294117647058824,0,0
22,44000,RENT,0.0,PERSONAL,A,7500,8.32,0.17,N,3,0.17045454545454544,5.866666666666666,624.0,0.014181818181818183,0.13636363636363635,0.0,0,0
24,87550,MORTGAGE,5.0,EDUCATION,B,3600,11.86,0.04,N,4,0.041119360365505425,24.319444444444443,426.96,0.004876756139348943,0.16666666666666666,0.20833333333333334,0,0
31,51320,OWN,1.0,MEDICAL,C,5000,11.97,0.1,Y,9,0.09742790335151988,10.264,598.5,0.011662120031176929,0.2903225806451613,0.03225806451612903,0,0
22,60000,RENT,6.0,EDUCATION,C,7500,11.34,0.13,Y,4,0.125,8.0,850.5,0.014175,0.18181818181818182,0.2727272727272727,0,0
23,27996,RENT,7.0,DEBTCONSOLIDATION,A,10000,,0.36,N,2,0.35719388484069153,2.7996,1099.0,0.039255607943992,0.08695652173913043,0.30434782608695654,0,1
26,48000,MORTGAGE,10.0,VENTURE,A,4000,,0.08,N,2,0.08333333333333333,12.0,439.59999999999997,0.009158333333333333,0.07692307692307693,0.38461538461538464,0,0
30,114132,MORTGAGE,1.0,DEBTCONSOLIDATION,D,14400,14.54,0.13,N,10,0.12616969824413837,7.925833333333333,2093.76,0.01834507412469772,0.3333333333333333,0.03333333333333333,0,1
23,55392,RENT,3.0,MEDICAL,D,20000,15.2,0.31,Y,4,0.3610629693818602,2.7696,3040.0,0.05488157134604275,0.17391304347826086,0.13043478260869565,1,1
26,38000,RENT,4.0,MEDICAL,B,8000,12.69,0.21,N,4,0.21052631578947367,4.75,1015.1999999999999,0.02671578947368421,0.15384615384615385,0.15384615384615385,0,0
26,80000,RENT,0.0,EDUCATION,C,9000,10.91,0.11,Y,3,0.1125,8.88888888888889,981.9,0.01227375,0.11538461538461539,0.0,0,0
25,33000,OWN,7.0,VENTURE,B,8000,10.38,0.24,N,2,0.24242424242424243,4.125,830.4,0.025163636363636364,0.08,0.28,0,0
23,75996,MORTGAGE,7.0,MEDICAL,B,15000,10.62,0.2,N,2,0.19737880941102162,5.0664,1592.9999999999998,0.020961629559450495,0.08695652173913043,0.30434782608695654,0,0
23,69996,MORTGAGE,7.0,VENTURE,A,3000,6.39,0.04,N,4,0.04285959197668438,23.332,191.7,0.0027387279273101317,0.17391304347826086,0.30434782608695654,0,0
24,75000,MORTGAGE,6.0,VENTURE,B,25000,10.99,0.33,N,2,0.3333333333333333,3.0,2747.5,0.03663333333333333,0.08333333333333333,0.25,0,0
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0.11,Y,2,0.10752688172043011,9.3,3542.5,0.015236559139784946,0.07692307692307693,0.0,0,0
22,26000,MORTGAGE,6.0,VENTURE,C,17000,12.84,0.65,Y,4,0.6538461538461539,1.5294117647058822,2182.7999999999997,0.08395384615384614,0.18181818181818182,0.2727272727272727,0,1
