Feature,Importance,Relative_Importance_Pct
loan_grade_D,0.10137882,10.137882
interest_burden_ratio,0.08972459,8.972459
person_home_ownership_RENT,0.07840614,7.840614
income_to_loan_ratio,0.07575865,7.5758653
loan_grade_A,0.05522641,5.522641
loan_grade_C,0.05205668,5.205668
person_home_ownership_OWN,0.047547434,4.7547436
loan_to_income_ratio,0.044999402,4.4999404
loan_int_rate,0.041688517,4.168852
loan_grade_B,0.034615338,3.4615338
loan_intent_HOMEIMPROVEMENT,0.033558074,3.3558075
person_income,0.031960063,3.1960063
loan_intent_VENTURE,0.030440107,3.0440106
person_home_ownership_MORTGAGE,0.02973718,2.973718
high_risk_flag,0.029351823,2.9351823
loan_intent_DEBTCONSOLIDATION,0.029330209,2.9330208
loan_grade_E,0.026891747,2.6891747
loan_percent_income,0.025776539,2.577654
loan_intent_MEDICAL,0.023278937,2.3278937
person_emp_length,0.017540667,1.7540667
loan_intent_EDUCATION,0.011973925,1.1973925
person_age,0.011845957,1.1845957
loan_grade_G,0.010687494,1.0687494
loan_grade_F,0.010632229,1.0632229
annual_interest_burden,0.00974876,0.974876
emp_to_age_ratio,0.008470399,0.84703994
loan_intent_PERSONAL,0.008357081,0.8357081
loan_amnt,0.007024225,0.7024225
cb_person_cred_hist_length,0.006431995,0.6431995
credit_age_ratio,0.00611258,0.61125803
cb_person_default_on_file_N,0.004845797,0.4845797
cb_person_default_on_file_Y,0.0023489487,0.23489487
person_home_ownership_OTHER,0.0022532863,0.22532862
